Poznan,Krakov,100,
Gdansk,Warsaw,100,
Gdansk,Poznan,100,
Krakov,Warsaw,300,
Dresden,Warsaw,300,
Berlin,Warsaw,100,
Prague,Warsaw,300,
Dresden,Berlin,200,
Prague,Bratislava,200,
Budapest,Bratislava,100,
Prague,Brno,100,
Budapest,Belgrade,200,
Tirane,Belgrade,100,
Rome,Belgrade,300,
Rijeka,Zagreb,100,
Budapest,Zagreb,200,
Graz,Zagreb,100,
Graz,Salzburg,100,
Vienna,Salzburg,300,
Innsbruck,Salzburg,100,
Magdeburg,Berlin,100,
Hamburg,Berlin,300,
Hamburg,Frankfurt,300,
Munich,Frankfurt,100,
Munich,Verona,100,
Rome,Napoli,100,
Tirane,Napoli,100,
Munich,Innsbruck,200,
Rome,Verona,200,
Napoli,Rijeka,200,
Tirane,Rijeka,300,
Prague,Vienna,200,
Prague,Berlin,300,
Dresden,Magdeburg,200,
Munich,Magdeburg,200,
Berlin,Napoli,100,
Warsaw,Napoli,100,
Bratislava,Vienna,200,
Zagreb,Vienna,300,
Prague,Rome,100,
Bratislava,Rome,200,
